enzyme	genome_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition
K06223	contigs_clean	750	c_000000000017	None	DNA adenine methylase [EC:2.1.1.72]
K11749	contigs_clean	730	c_000000000017	None	regulator of sigma E protease [EC:3.4.24.-]
K06142	contigs_clean	732	c_000000000017	None	outer membrane protein
K02337	contigs_clean	737	c_000000000017	None	DNA polymerase III subunit alpha [EC:2.7.7.7]
K03673	contigs_clean	754	c_000000000017	None	protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
K07038	contigs_clean	746	c_000000000017	None	inner membrane protein
K10773	contigs_clean	749	c_000000000017	None	endonuclease III [EC:3.2.2.- 4.2.99.18]
K01867	contigs_clean	753	c_000000000017	None	tryptophanyl-tRNA synthetase [EC:6.1.1.2]
K13292	contigs_clean	747	c_000000000017	None	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
K03820	contigs_clean	333	c_000000000008	None	apolipoprotein N-acyltransferase [EC:2.3.1.269]
K09908	contigs_clean	340	c_000000000008	None	uncharacterized protein
K00790	contigs_clean	342	c_000000000008	None	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K19000	contigs_clean	347	c_000000000008	None	Rho-binding antiterminator
K03101	contigs_clean	337	c_000000000008	None	signal peptidase II [EC:3.4.23.36]
K02356	contigs_clean	350	c_000000000008	None	elongation factor P
K02342	contigs_clean	345	c_000000000008	None	DNA polymerase III subunit epsilon [EC:2.7.7.7]
K02221	contigs_clean	330	c_000000000008	None	YggT family protein
K03469	contigs_clean	344	c_000000000008	None	ribonuclease HI [EC:3.1.26.4]
K03086	contigs_clean	325	c_000000000008	None	RNA polymerase primary sigma factor
K01870	contigs_clean	338	c_000000000008	None	isoleucyl-tRNA synthetase [EC:6.1.1.5]
K04075	contigs_clean	348	c_000000000008	None	tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
K19810	contigs_clean	349	c_000000000008	None	L-lysine 2,3-aminomutase [EC:5.4.3.-]
K06997	contigs_clean	332	c_000000000008	None	PLP dependent protein
K07042	contigs_clean	328	c_000000000008	None	probable rRNA maturation factor
K11209	contigs_clean	326	c_000000000008	None	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
K04771	contigs_clean	656	c_000000000016	None	serine protease Do [EC:3.4.21.107]
K04771	contigs_clean	341	c_000000000008	None	serine protease Do [EC:3.4.21.107]
K05527	contigs_clean	615	c_000000000013	None	BolA family transcriptional regulator, general stress-responsive regulator
K05527	contigs_clean	343	c_000000000008	None	BolA family transcriptional regulator, general stress-responsive regulator
K02316	contigs_clean	324	c_000000000008	None	DNA primase [EC:2.7.7.101]
K04772	contigs_clean	656	c_000000000016	None	serine protease DegQ [EC:3.4.21.-]
K04772	contigs_clean	341	c_000000000008	None	serine protease DegQ [EC:3.4.21.-]
K09897	contigs_clean	456	c_000000000011	None	uncharacterized protein
K23773	contigs_clean	457	c_000000000011	None	LysR family transcriptional regulator, flagellar master operon regulator
K01876	contigs_clean	451	c_000000000011	None	aspartyl-tRNA synthetase [EC:6.1.1.12]
K09791	contigs_clean	454	c_000000000011	None	uncharacterized protein
K07447	contigs_clean	447	c_000000000011	None	putative pre-16S rRNA nuclease [EC:3.1.-.-]
K09893	contigs_clean	132	c_000000000004	None	regulator of ribonuclease activity B
K02899	contigs_clean	123	c_000000000003	None	large subunit ribosomal protein L27
K02913	contigs_clean	122	c_000000000003	None	large subunit ribosomal protein L33
K02888	contigs_clean	124	c_000000000003	None	large subunit ribosomal protein L21
K02902	contigs_clean	121	c_000000000003	None	large subunit ribosomal protein L28
K03564	contigs_clean	120	c_000000000003	None	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
K03704	contigs_clean	126	c_000000000003	None	cold shock protein
K03657	contigs_clean	113	c_000000000003	None	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
K03284	contigs_clean	114	c_000000000003	None	magnesium transporter
K12984	contigs_clean	117	c_000000000003	None	(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]
K09817	contigs_clean	134	c_000000000004	None	zinc transport system ATP-binding protein [EC:7.2.2.20]
K01494	contigs_clean	109	c_000000000003	None	dCTP deaminase [EC:3.5.4.13]
K09816	contigs_clean	133	c_000000000004	None	zinc transport system permease protein
K02844	contigs_clean	115	c_000000000003	None	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K03975	contigs_clean	108	c_000000000003	None	membrane-associated protein
K02469	contigs_clean	154	c_000000000004	None	DNA gyrase subunit A [EC:5.6.2.2]
K19304	contigs_clean	136	c_000000000004	None	murein DD-endopeptidase [EC:3.4.24.-]
K03572	contigs_clean	146	c_000000000004	None	DNA mismatch repair protein MutL
K01776	contigs_clean	156	c_000000000004	None	glutamate racemase [EC:5.1.1.3]
K11927	contigs_clean	159	c_000000000005	None	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
K04087	contigs_clean	141	c_000000000004	None	modulator of FtsH protease HflC
K00791	contigs_clean	145	c_000000000004	None	tRNA dimethylallyltransferase [EC:2.5.1.75]
K01448	contigs_clean	147	c_000000000004	None	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K03666	contigs_clean	144	c_000000000004	None	host factor-I protein
K11102	contigs_clean	149	c_000000000004	None	proton glutamate symport protein
K06925	contigs_clean	148	c_000000000004	None	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K06890	contigs_clean	155	c_000000000004	None	uncharacterized protein
K04088	contigs_clean	142	c_000000000004	None	modulator of FtsH protease HflK
K15539	contigs_clean	816	c_000000000020	None	cytoskeleton protein RodZ
K17713	contigs_clean	812	c_000000000020	None	outer membrane protein assembly factor BamB
K04487	contigs_clean	823	c_000000000020	None	cysteine desulfurase [EC:2.8.1.7]
K01892	contigs_clean	814	c_000000000020	None	histidyl-tRNA synthetase [EC:6.1.1.21]
K02355	contigs_clean	832	c_000000000022	None	elongation factor G
K02358	contigs_clean	283	c_000000000006	None	elongation factor Tu
K02358	contigs_clean	831	c_000000000022	None	elongation factor Tu
K07751	contigs_clean	822	c_000000000020	None	PepB aminopeptidase [EC:3.4.11.23]
K02950	contigs_clean	834	c_000000000022	None	small subunit ribosomal protein S12
K03723	contigs_clean	825	c_000000000021	None	transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
K07237	contigs_clean	835	c_000000000022	None	tRNA 2-thiouridine synthesizing protein B
K07236	contigs_clean	836	c_000000000022	None	tRNA 2-thiouridine synthesizing protein C
K02992	contigs_clean	833	c_000000000022	None	small subunit ribosomal protein S7
K03297	contigs_clean	830	c_000000000021	None	small multidrug resistance pump
K06941	contigs_clean	818	c_000000000020	None	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
K03977	contigs_clean	811	c_000000000020	None	GTPase
K04564	contigs_clean	828	c_000000000021	None	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K01000	contigs_clean	505	c_000000000011	None	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K03588	contigs_clean	507	c_000000000011	None	cell division protein FtsW
K03589	contigs_clean	510	c_000000000011	None	cell division protein FtsQ
K02907	contigs_clean	487	c_000000000011	None	large subunit ribosomal protein L30
K06190	contigs_clean	498	c_000000000011	None	intracellular septation protein
K02876	contigs_clean	488	c_000000000011	None	large subunit ribosomal protein L15
K03438	contigs_clean	499	c_000000000011	None	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
K01925	contigs_clean	506	c_000000000011	None	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
K02948	contigs_clean	492	c_000000000011	None	small subunit ribosomal protein S11
K01924	contigs_clean	509	c_000000000011	None	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K02988	contigs_clean	486	c_000000000011	None	small subunit ribosomal protein S5
K03076	contigs_clean	489	c_000000000011	None	preprotein translocase subunit SecY
K02952	contigs_clean	491	c_000000000011	None	small subunit ribosomal protein S13
K02563	contigs_clean	508	c_000000000011	None	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K01929	contigs_clean	504	c_000000000011	None	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K02986	contigs_clean	493	c_000000000011	None	small subunit ribosomal protein S4
K01928	contigs_clean	503	c_000000000011	None	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
K03040	contigs_clean	494	c_000000000011	None	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03531	contigs_clean	512	c_000000000011	None	cell division protein FtsZ
K07146	contigs_clean	496	c_000000000011	None	UPF0176 protein
K02879	contigs_clean	495	c_000000000011	None	large subunit ribosomal protein L17
K02919	contigs_clean	490	c_000000000011	None	large subunit ribosomal protein L36
K03590	contigs_clean	511	c_000000000011	None	cell division protein FtsA
K03587	contigs_clean	502	c_000000000011	None	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
K03586	contigs_clean	500	c_000000000011	None	cell division protein FtsL
K02967	contigs_clean	723	c_000000000017	None	small subunit ribosomal protein S2
K02838	contigs_clean	726	c_000000000017	None	ribosome recycling factor
K02357	contigs_clean	724	c_000000000017	None	elongation factor Ts
K06131	contigs_clean	711	c_000000000016	None	cardiolipin synthase A/B [EC:2.7.8.-]
K00806	contigs_clean	728	c_000000000017	None	undecaprenyl diphosphate synthase [EC:2.5.1.31]
K01265	contigs_clean	722	c_000000000017	None	methionyl aminopeptidase [EC:3.4.11.18]
K01866	contigs_clean	717	c_000000000017	None	tyrosyl-tRNA synthetase [EC:6.1.1.1]
K00868	contigs_clean	718	c_000000000017	None	pyridoxine kinase [EC:2.7.1.35]
K02843	contigs_clean	714	c_000000000017	None	lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]
K02841	contigs_clean	715	c_000000000017	None	lipopolysaccharide heptosyltransferase I [EC:2.4.99.23]
K06207	contigs_clean	712	c_000000000017	None	GTP-binding protein
K03313	contigs_clean	17	c_000000000002	None	Na+:H+ antiporter, NhaA family
K04043	contigs_clean	15	c_000000000002	None	molecular chaperone DnaK
K03495	contigs_clean	11	c_000000000002	None	tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K01874	contigs_clean	25	c_000000000003	None	methionyl-tRNA synthetase [EC:6.1.1.10]
K06879	contigs_clean	18	c_000000000002	None	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K03686	contigs_clean	16	c_000000000002	None	molecular chaperone DnaJ
K02836	contigs_clean	4	c_000000000001	None	peptide chain release factor 2
K03839	contigs_clean	9	c_000000000002	None	flavodoxin I
K06205	contigs_clean	12	c_000000000002	None	MioC protein
K02314	contigs_clean	10	c_000000000002	None	replicative DNA helicase [EC:5.6.2.3]
K04567	contigs_clean	3	c_000000000001	None	lysyl-tRNA synthetase, class II [EC:6.1.1.6]
K02897	contigs_clean	23	c_000000000003	None	large subunit ribosomal protein L25
K03575	contigs_clean	370	c_000000000008	None	A/G-specific adenine glycosylase [EC:3.2.2.31]
K06195	contigs_clean	362	c_000000000008	None	ApaG protein
K04744	contigs_clean	357	c_000000000008	None	LPS-assembly protein
K03771	contigs_clean	358	c_000000000008	None	peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
K03439	contigs_clean	367	c_000000000008	None	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
K09774	contigs_clean	375	c_000000000009	None	lipopolysaccharide export system protein LptA
K03110	contigs_clean	352	c_000000000008	None	fused signal recognition particle receptor
K06861	contigs_clean	374	c_000000000009	None	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
K01921	contigs_clean	354	c_000000000008	None	D-alanine-D-alanine ligase [EC:6.3.2.4]
K03089	contigs_clean	353	c_000000000008	None	RNA polymerase sigma-32 factor
K08306	contigs_clean	368	c_000000000008	None	membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]
K01525	contigs_clean	363	c_000000000008	None	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
K05801	contigs_clean	356	c_000000000008	None	DnaJ like chaperone protein
K11719	contigs_clean	376	c_000000000009	None	lipopolysaccharide export system protein LptC
K02528	contigs_clean	361	c_000000000008	None	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K03978	contigs_clean	305	c_000000000008	None	GTP-binding protein
K07113	contigs_clean	316	c_000000000008	None	UPF0716 protein FxsA
K02796	contigs_clean	301	c_000000000007	None	mannose PTS system EIID component
K02795	contigs_clean	300	c_000000000007	None	mannose PTS system EIIC component
K25706	contigs_clean	322	c_000000000008	None	tRNA N6-adenosine threonylcarbamoyltransferase [EC:2.3.1.234]
K04078	contigs_clean	314	c_000000000008	None	chaperonin GroES
K02970	contigs_clean	323	c_000000000008	None	small subunit ribosomal protein S21
K02794	contigs_clean	299	c_000000000007	None	mannose PTS system EIIAB component [EC:2.7.1.191]
K02793	contigs_clean	299	c_000000000007	None	mannose PTS system EIIA component [EC:2.7.1.191]
K03694	contigs_clean	302	c_000000000008	None	ATP-dependent Clp protease ATP-binding subunit ClpA
K04077	contigs_clean	313	c_000000000008	None	chaperonin GroEL [EC:5.6.1.7]
K07323	contigs_clean	307	c_000000000008	None	phospholipid transport system substrate-binding protein
K02065	contigs_clean	310	c_000000000008	None	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K03555	contigs_clean	311	c_000000000008	None	DNA mismatch repair protein MutS
K15724	contigs_clean	317	c_000000000008	None	iron-sulfur cluster insertion protein
K02066	contigs_clean	309	c_000000000008	None	phospholipid/cholesterol/gamma-HCH transport system permease protein
K07122	contigs_clean	306	c_000000000008	None	phospholipid transport system transporter-binding protein
K02067	contigs_clean	308	c_000000000008	None	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K09760	contigs_clean	672	c_000000000016	None	DNA recombination protein RmuC
K00384	contigs_clean	658	c_000000000016	None	thioredoxin reductase (NADPH) [EC:1.8.1.9]
K01875	contigs_clean	655	c_000000000016	None	seryl-tRNA synthetase [EC:6.1.1.11]
K00364	contigs_clean	657	c_000000000016	None	GMP reductase [EC:1.7.1.7]
K05368	contigs_clean	666	c_000000000016	None	NAD(P)H-flavin reductase [EC:1.5.1.41]
K07337	contigs_clean	660	c_000000000016	None	penicillin-binding protein activator
K02503	contigs_clean	659	c_000000000016	None	histidine triad (HIT) family protein
K07251	contigs_clean	661	c_000000000016	None	thiamine kinase [EC:2.7.1.89]
K04770	contigs_clean	652	c_000000000015	None	Lon-like ATP-dependent protease [EC:3.4.21.-]
K09862	contigs_clean	662	c_000000000016	None	uncharacterized protein
K02470	contigs_clean	650	c_000000000015	None	DNA gyrase subunit B [EC:5.6.2.2]
K02335	contigs_clean	807	c_000000000020	None	DNA polymerase I [EC:2.7.7.7]
K03573	contigs_clean	795	c_000000000020	None	DNA mismatch repair protein MutH
K02860	contigs_clean	802	c_000000000020	None	16S rRNA processing protein RimM
K02344	contigs_clean	809	c_000000000020	None	DNA polymerase III subunit psi [EC:2.7.7.7]
K03106	contigs_clean	804	c_000000000020	None	signal recognition particle subunit SRP54 [EC:3.6.5.4]
K02959	contigs_clean	803	c_000000000020	None	small subunit ribosomal protein S16
K05788	contigs_clean	796	c_000000000020	None	integration host factor subunit beta
K00554	contigs_clean	801	c_000000000020	None	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
K01887	contigs_clean	806	c_000000000020	None	arginyl-tRNA synthetase [EC:6.1.1.19]
K09808	contigs_clean	792	c_000000000020	None	lipoprotein-releasing system permease protein
K09808	contigs_clean	794	c_000000000020	None	lipoprotein-releasing system permease protein
K02004	contigs_clean	792	c_000000000020	None	putative ABC transport system permease protein
K02004	contigs_clean	794	c_000000000020	None	putative ABC transport system permease protein
K02945	contigs_clean	797	c_000000000020	None	small subunit ribosomal protein S1
K09810	contigs_clean	793	c_000000000020	None	lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]
K03524	contigs_clean	783	c_000000000019	None	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]
K00763	contigs_clean	788	c_000000000020	None	nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K00945	contigs_clean	798	c_000000000020	None	CMP/dCMP kinase [EC:2.7.4.25]
K02217	contigs_clean	786	c_000000000020	None	ferritin [EC:1.16.3.2]
K02003	contigs_clean	793	c_000000000020	None	putative ABC transport system ATP-binding protein
K02837	contigs_clean	808	c_000000000020	None	peptide chain release factor 3
K02884	contigs_clean	800	c_000000000020	None	large subunit ribosomal protein L19
K03386	contigs_clean	789	c_000000000020	None	peroxiredoxin 2/4 [EC:1.11.1.24]
K06942	contigs_clean	791	c_000000000020	None	ribosome-binding ATPase
K01358	contigs_clean	617	c_000000000013	None	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
K04085	contigs_clean	602	c_000000000013	None	tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]
K03648	contigs_clean	594	c_000000000013	None	uracil-DNA glycosylase [EC:3.2.2.27]
K18691	contigs_clean	603	c_000000000013	None	membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
K03702	contigs_clean	605	c_000000000013	None	excinuclease ABC subunit B
K03071	contigs_clean	597	c_000000000013	None	preprotein translocase subunit SecB
K01262	contigs_clean	611	c_000000000013	None	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01338	contigs_clean	619	c_000000000013	None	ATP-dependent Lon protease [EC:3.4.21.53]
K03530	contigs_clean	620	c_000000000013	None	DNA-binding protein HU-beta
K09802	contigs_clean	595	c_000000000013	None	uncharacterized protein
K09888	contigs_clean	612	c_000000000013	None	cell division protein ZapA
K01972	contigs_clean	601	c_000000000013	None	DNA ligase (NAD+) [EC:6.5.1.2]
K03544	contigs_clean	618	c_000000000013	None	ATP-dependent Clp protease ATP-binding subunit ClpX
K03545	contigs_clean	616	c_000000000013	None	trigger factor
K19302	contigs_clean	184	c_000000000005	None	undecaprenyl-diphosphatase [EC:3.6.1.27]
K03628	contigs_clean	172	c_000000000005	None	transcription termination factor Rho
K07264	contigs_clean	183	c_000000000005	None	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]
K01869	contigs_clean	187	c_000000000005	None	leucyl-tRNA synthetase [EC:6.1.1.4]
K03671	contigs_clean	171	c_000000000005	None	thioredoxin 1
K03643	contigs_clean	188	c_000000000005	None	LPS-assembly lipoprotein
K03582	contigs_clean	176	c_000000000005	None	exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
K03583	contigs_clean	177	c_000000000005	None	exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
K02851	contigs_clean	173	c_000000000005	None	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]
K03581	contigs_clean	175	c_000000000005	None	exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
K04568	contigs_clean	77	c_000000000003	None	elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]
K02518	contigs_clean	58	c_000000000003	None	translation initiation factor IF-1
K01507	contigs_clean	70	c_000000000003	None	inorganic pyrophosphatase [EC:3.6.1.1]
K13288	contigs_clean	80	c_000000000003	None	oligoribonuclease [EC:3.1.-.-]
K08483	contigs_clean	60	c_000000000003	None	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
K02784	contigs_clean	59	c_000000000003	None	phosphocarrier protein HPr
K22051	contigs_clean	78	c_000000000003	None	miniconductance mechanosensitive channel
K03324	contigs_clean	55	c_000000000003	None	phosphate:Na+ symporter
K08311	contigs_clean	71	c_000000000003	None	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K09768	contigs_clean	72	c_000000000003	None	uncharacterized protein
K00997	contigs_clean	74	c_000000000003	None	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K09800	contigs_clean	63	c_000000000003	None	translocation and assembly module TamB
K06173	contigs_clean	73	c_000000000003	None	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
K07278	contigs_clean	62	c_000000000003	None	translocation and assembly module TamA
K03770	contigs_clean	621	c_000000000013	None	peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
K02914	contigs_clean	629	c_000000000013	None	large subunit ribosomal protein L34
K03217	contigs_clean	631	c_000000000013	None	YidC/Oxa1 family membrane protein insertase
K06186	contigs_clean	628	c_000000000013	None	outer membrane protein assembly factor BamE
K02444	contigs_clean	639	c_000000000014	None	DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
K00858	contigs_clean	643	c_000000000014	None	NAD+ kinase [EC:2.7.1.23]
K02621	contigs_clean	645	c_000000000014	None	topoisomerase IV subunit A [EC:5.6.2.2]
K16322	contigs_clean	633	c_000000000013	None	low-affinity inorganic phosphate transporter
K03664	contigs_clean	626	c_000000000013	None	SsrA-binding protein
K03536	contigs_clean	630	c_000000000013	None	ribonuclease P protein component [EC:3.1.26.5]
K06920	contigs_clean	622	c_000000000013	None	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
K03650	contigs_clean	632	c_000000000013	None	tRNA modification GTPase [EC:3.6.-.-]
K03687	contigs_clean	644	c_000000000014	None	molecular chaperone GrpE
K11179	contigs_clean	641	c_000000000014	None	tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]
K02313	contigs_clean	646	c_000000000015	None	chromosomal replication initiator protein
K02064	contigs_clean	623	c_000000000013	None	thiamine transport system substrate-binding protein
K02338	contigs_clean	647	c_000000000015	None	DNA polymerase III subunit beta [EC:2.7.7.7]
K18588	contigs_clean	627	c_000000000013	None	coenzyme Q-binding protein COQ10
K02063	contigs_clean	624	c_000000000013	None	thiamine transport system permease protein
K00111	contigs_clean	637	c_000000000014	None	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K01839	contigs_clean	642	c_000000000014	None	phosphopentomutase [EC:5.4.2.7]
K06180	contigs_clean	394	c_000000000009	None	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
K06958	contigs_clean	379	c_000000000009	None	RNase adapter protein RapZ
K05539	contigs_clean	388	c_000000000009	None	tRNA-dihydrouridine synthase A [EC:1.-.-.-]
K02806	contigs_clean	378	c_000000000009	None	nitrogen PTS system EIIA component [EC:2.7.1.-]
K03701	contigs_clean	387	c_000000000009	None	excinuclease ABC subunit A
K12974	contigs_clean	390	c_000000000009	None	KDO2-lipid IV(A) palmitoleoyltransferase [EC:2.3.1.242]
K02346	contigs_clean	395	c_000000000009	None	DNA polymerase IV [EC:2.7.7.7]
K03111	contigs_clean	386	c_000000000009	None	single-strand DNA-binding protein
K05834	contigs_clean	385	c_000000000009	None	homoserine/homoserine lactone efflux protein
K00970	contigs_clean	381	c_000000000009	None	poly(A) polymerase [EC:2.7.7.19]
K05807	contigs_clean	393	c_000000000009	None	outer membrane protein assembly factor BamD
K03695	contigs_clean	392	c_000000000009	None	ATP-dependent Clp protease ATP-binding subunit ClpB
K00760	contigs_clean	380	c_000000000009	None	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
K15256	contigs_clean	403	c_000000000011	None	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]
K07258	contigs_clean	269	c_000000000006	None	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
K01414	contigs_clean	262	c_000000000006	None	oligopeptidase A [EC:3.4.24.70]
K15984	contigs_clean	263	c_000000000006	None	16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]
K03683	contigs_clean	249	c_000000000005	None	ribonuclease T [EC:3.1.13.-]
K12573	contigs_clean	260	c_000000000005	None	ribonuclease R [EC:3.1.13.1]
K11720	contigs_clean	253	c_000000000005	None	lipopolysaccharide export system permease protein
K06075	contigs_clean	252	c_000000000005	None	MarR family transcriptional regulator, transcriptional regulator for hemolysin
K05794	contigs_clean	267	c_000000000006	None	tellurite resistance protein TerC
K07390	contigs_clean	248	c_000000000005	None	monothiol glutaredoxin
K01873	contigs_clean	257	c_000000000005	None	valyl-tRNA synthetase [EC:6.1.1.9]
K03218	contigs_clean	261	c_000000000005	None	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
K04761	contigs_clean	247	c_000000000005	None	LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
K02339	contigs_clean	256	c_000000000005	None	DNA polymerase III subunit chi [EC:2.7.7.7]
K07091	contigs_clean	254	c_000000000005	None	lipopolysaccharide export system permease protein
K06020	contigs_clean	569	c_000000000013	None	energy-dependent translational throttle protein EttA
K03602	contigs_clean	593	c_000000000013	None	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
K03561	contigs_clean	587	c_000000000013	None	biopolymer transport protein ExbB
K03562	contigs_clean	587	c_000000000013	None	biopolymer transport protein TolQ
K03559	contigs_clean	588	c_000000000013	None	biopolymer transport protein ExbD
K14742	contigs_clean	584	c_000000000013	None	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
K02030	contigs_clean	580	c_000000000013	None	polar amino acid transport system substrate-binding protein
K07400	contigs_clean	590	c_000000000013	None	Fe/S biogenesis protein NfuA
K09999	contigs_clean	579	c_000000000013	None	arginine transport system permease protein
K09998	contigs_clean	578	c_000000000013	None	arginine transport system permease protein
K03646	contigs_clean	589	c_000000000013	None	colicin import membrane protein
K10000	contigs_clean	581	c_000000000013	None	arginine transport system ATP-binding protein [EC:7.4.2.1]
K04758	contigs_clean	575	c_000000000013	None	ferrous iron transport protein A
K04759	contigs_clean	576	c_000000000013	None	ferrous iron transport protein B
K01147	contigs_clean	568	c_000000000013	None	exoribonuclease II [EC:3.1.13.1]
K05515	contigs_clean	287	c_000000000006	None	penicillin-binding protein 2 [EC:3.4.16.4]
K03979	contigs_clean	294	c_000000000007	None	GTPase [EC:3.6.5.-]
K02864	contigs_clean	278	c_000000000006	None	large subunit ribosomal protein L10
K02867	contigs_clean	280	c_000000000006	None	large subunit ribosomal protein L11
K00325	contigs_clean	295	c_000000000007	None	H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K02863	contigs_clean	279	c_000000000006	None	large subunit ribosomal protein L1
K00324	contigs_clean	296	c_000000000007	None	H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K03073	contigs_clean	282	c_000000000006	None	preprotein translocase subunit SecE
K01881	contigs_clean	293	c_000000000007	None	prolyl-tRNA synthetase [EC:6.1.1.15]
K09158	contigs_clean	270	c_000000000006	None	uncharacterized protein
K05837	contigs_clean	288	c_000000000006	None	rod shape determining protein RodA
K03046	contigs_clean	275	c_000000000006	None	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K02601	contigs_clean	281	c_000000000006	None	transcription termination/antitermination protein NusG
K03043	contigs_clean	276	c_000000000006	None	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K05590	contigs_clean	285	c_000000000006	None	ATP-dependent RNA helicase SrmB [EC:3.6.4.13]
K03634	contigs_clean	289	c_000000000006	None	outer membrane lipoprotein carrier protein
K02935	contigs_clean	277	c_000000000006	None	large subunit ribosomal protein L7/L12
K02523	contigs_clean	98	c_000000000003	None	octaprenyl-diphosphate synthase [EC:2.5.1.90]
K03749	contigs_clean	81	c_000000000003	None	DedD protein
K11940	contigs_clean	93	c_000000000003	None	heat shock protein HspQ
K18889	contigs_clean	94	c_000000000003	None	ATP-binding cassette, subfamily B, multidrug efflux pump
